entidad,recaudo,acumulado,porcentaje
Municipio GRANADA,3569981831.0,0.804212119491469,0.0009599376106387058
Municipio JAMUNDI,3566929127.74,0.805171236256285,0.0009591167648159211
MUNICIPIO DE RIONEGRO ANTIOQUIA,3490426594.0,0.8061097821434542,0.0009385458871692941
Municipio PUERTO ASIS,3421718938.0,0.8070298531289979,0.000920070985543604
MUNICIPIO DE IPIALES,3417125205.0,0.8079486888989889,0.0009188357699910652
Municipio DUITAMA,3408407648.95,0.8088651805926453,0.000916491693656396
Municipio CIENAGA,3334367659.0,0.809761763565639,0.0008965829729936895
Municipio GARZON,3329696809.0,0.8106570905869778,0.000895327021338777
Municipio PIEDECUESTA,3281846932.0,0.8115395511852447,0.0008824605982668507
Municipio CAUCASIA,3268653527.0,0.8124184641896381,0.0008789130043934273
Municipio ARAUCA,3260740140.0,0.8132952493518831,0.000876785162245079
Municipio FACATATIVA,3222554595.97,0.8141617667476151,0.0008665173957318724
Municipio GUADALAJARA DE BUGA,3179798365.0,0.8150167873581698,0.0008550206105547441
MUNICIPIO DE CANDELARIA,3159751250.17,0.8158664174708394,0.0008496301126695716
Municipio SAN GIL,3110410996.0,0.8167027804107506,0.0008363629399111631
Municipio SANTA ROSA DE CABAL,3098934326.0,0.8175360573721612,0.0008332769614105938
Municipio LA DORADA,3079432477.0,0.8183640904530093,0.0008280330808480833
Municipio BARBOSA,3046630801.63,0.8191833034436243,0.0008192129906150738
MUNICIPIO DE CARTAGO,3024303309.0,0.8199965127622485,0.0008132093186241741
DISTRITO TURISTICO Y CULTURAL DE CARTAGENA DE INDIAS,3021861020.0,0.8208090653702287,0.0008125526079802176
MUNICIPIO DE MANAURE,3012758787.0,0.8216191704655292,0.0008101050953005664
Municipio TIERRALTA,2978726297.0,0.8224201245150595,0.0008009540495302482
MUNICIPIO DE GIRARDOT,2969769163.0,0.8232186700677914,0.0007985455527318982
Municipio ZIPAQUIRA,2969043550.0,0.8240170205093876,0.0007983504415962
MUNICIPIO DE FUSAGASUGA,2942542856.0,0.8248082451408024,0.0007912246314148351
Municipio MOSQUERA,2929593169.22,0.8255959877120908,0.0007877425712883188
Municipio MARINILLA,2892991352.0,0.8263738883674729,0.0007779006553821643
MUNICIPIO DE PIEDECUESTA,2869548484.0,0.8271454854359576,0.0007715970684845988
Municipio MOMPOS,2860980618.0,0.827914778678483,0.0007692932425253477
Municipio SANTANDER DE QUILICHAO,2840781955.0,0.828678640673115,0.0007638619946321658
Municipio ACACIAS,2821728197.0,0.8294373792750259,0.0007587386019108407
Municipio CHIQUINQUIRA,2807709283.0,0.8301923483107468,0.0007549690357208807
Municipio ESPINAL,2725012677.0,0.8309250809357156,0.0007327326249688029
ALCALDIA MUNICIPIO DE JAMUNDI,2692640354.14,0.8316491089196728,0.000724027983957129
Municipio SAHAGUN,2677500493.0,0.8323690659243319,0.0007199570046591581
Municipio LA PLATA,2663057793.0,0.8330851394103668,0.0007160734860348384
MUNICIPIO DE ARAUCA,2660556603.0,0.8338005403477821,0.0007154009374152616
MUNICIPIO DE DUITAMA,2653254722.0,0.8345139778717874,0.0007134375240052989
MUNICIPIO DE LETICIA,2609901914.0,0.8352157581961496,0.0007017803243622573
Municipio RIOSUCIO,2577700372.0,0.8359088798010141,0.0006931216048645999
MUNICIPIO DE LORICA,2556662310.0,0.8365963444507668,0.0006874646497525645
Municipio PAMPLONA,2550195560.0,0.8372820702466994,0.0006857257959327234
Municipio CHINCHINA,2528468142.0,0.837961953725582,0.0006798834788824918
MUNICIPIO DE CIENAGA,2498866656.0,0.838633877617809,0.0006719238922270506
Municipio CERETE,2475089835.0,0.8392994081260302,0.0006655305082212472
MUNICIPIO DE MOSQUERA,2453768337.05,0.8399592054656343,0.0006597973396040759
Municipio CALARCA,2443890484.0,0.8406163467349546,0.0006571412693202668
MUNICIPIO DE BUGA,2430993686.0,0.8412700201654894,0.0006536734305347842
Municipio TURBACO,2419138305.0,0.8419205057853716,0.0006504856198822119
MUNICIPIO DE PUERTO ASIS,2399451384.0,0.8425656977604118,0.0006451919750402494
Municipio COPACABANA,2387097119.32,0.8432075677792406,0.0006418700188288377
MUNICIPIO DE FACATATIVA,2385171926.85,0.8438489201302641,0.0006413523510234657
Municipio MONTELIBANO,2359091363.0,0.8444832596405137,0.000634339510249633
Municipio MALAMBO,2340452492.0,0.8451125873176113,0.000629327677097605
MUNICIPIO DE ACACIAS,2307573943.0,0.8457330742338136,0.0006204869162023354
Municipio YUMBO,2213355048.0,0.846328226494204,0.0005951522603903801
Municipio MOCOA,2205602839.0,0.846921294251833,0.000593067757629046
MUNICIPIO DE GARZON,2194800230.0,0.8475114572802049,0.0005901630283718612
Municipio SARAVENA,2186217527.0,0.848099312493075,0.0005878552128700848
Municipio EL CARMEN DE BOLIVAR,2157018274.0,0.8486793162763064,0.0005800037832314629
Municipio LOS PATIOS,2134753365.0,0.8492533332157504,0.0005740169394439243
Municipio PLANETA RICA,2125191821.0,0.8498247791377114,0.000571445921960957
Municipio FUNZA,2118467702.67,0.8503944170017076,0.000569637863996263
Municipio LA UNION,2107159213.0,0.850961014109457,0.0005665971077494135
Municipio SAN JOSE DEL GUAVIARE,2091074191.0,0.8515232860922292,0.0005622719827721175
Municipio FUNDACION,2088112423.0,0.8520847616808929,0.0005614755886637504
Municipio SEVILLA,2084882345.0,0.8526453687291818,0.0005606070482889586
Municipio ARJONA,2080193184.0,0.8532047149021444,0.0005593461729626046
MUNICIPIO DE SAHAGUN,2078303928.0,0.8537635530703114,0.0005588381681669564
Municipio EL BANCO,2051028052.0,0.8543150569884808,0.0005515039181693357
MuniciPio de TIERRALTA,2049009488.0,0.8548660181320381,0.00055096114355736
MUNICIPIO DE LA DORADA,2037127392.0,0.8554137842815077,0.000547766149469554
MUNICIPIO DE CHIQUINQUIRA,2034715528.0,0.8559609019013558,0.000547117619848131
Municipio LA CEJA,2033947141.0,0.8565078129085051,0.0005469110071493153
Municipio SEGOVIA,1989619895.0,0.8570428046979592,0.0005349917894541612
Municipio SANTA ROSA DE OSOS,1988332550.0,0.8575774503313427,0.0005346456333833832
MUNICIPIO DE CERETE,1966824066.0,0.8581063125171577,0.0005288621858150696
Municipio MADRID,1943965458.96,0.8586290282188551,0.000522715701697429
Municipio TAME,1924691526.0,0.8591465613246658,0.0005175331058106453
Municipio EL CARMEN DE VIBORAL,1919652400.0,0.8596627394525519,0.000516178127886068
Municipio VILLA DE SAN DIEGO DE UBATE,1861786249.0,0.8601633578668715,0.0005006184143196158
MUNICIPIO DE PAMPLONA,1852723837.32,0.8606615394761241,0.0004981816092526593
MUNICIPIO DE MONTE LIBANO,1841842156.0,0.8611567950942484,0.00049525561812426
Municipio CHIGORODO,1818543127.0,0.8616457858025531,0.0004889907083047619
Municipio PUERTO BOYACA,1818087923.0,0.8621346541103918,0.0004888683078386534
Municipio SAN ONOFRE,1798843893.0,0.8626183478629941,0.0004836937526023078
Municipio AGUSTIN CODAZZI,1795715376.0,0.8631012003841066,0.0004828525211126278
MUNICIPIO DE CHINCHINA,1786538211.0,0.8635815852439651,0.00048038485985843325
Municipio CHAPARRAL,1783651147.0,0.8640611937969825,0.0004796085530173576
Municipio SAN VICENTE DEL CAGUAN,1778242730.0,0.8645393480728808,0.00047815427589828794
Municipio CAREPA,1775271567.0,0.8650167034284355,0.0004773553555546964
Municipio PLATO,1760193663.0,0.8654900044644378,0.00047330103600227855
Municipio PUERTO BERRIO,1745958344.0,0.8659594777447946,0.00046947328035689144
Municipio VALLE DEL GUAMUEZ,1744930443.0,0.8664286746313555,0.00046919688656089367
MUNICIPIO DE YUMBO,1743427386.0,0.866897467358732,0.0004687927273764673
Municipio EL BAGRE,1737024905.0,0.8673645385136736,0.0004670711549415796
Municipio SAN MARCOS,1730347886.0,0.8678298142752578,0.0004652757615842823
Municipio ANDES,1677400836.0,0.8682808530275034,0.0004510387522454614
MUNICIPIO DE MOCOA,1670546229.0,0.8687300486344957,0.00044919560699236517
MUNICIPIO DE CALARCA,1668571195.0,0.8691787131717211,0.00044866453722544733
Municipio NECOCLI,1667176263.0,0.8696270026236508,0.0004482894519296467
Municipio GIRARDOTA,1657235721.0,0.8700726191487737,0.00044561652512282855
Municipio COROZAL,1655820204.0,0.87051785505347,0.00044523590469641646
Municipio QUIMBAYA,1651404472.0,0.8709619036055619,0.00044404855209184777
MUNICIPIO DE FUNZA,1648111797.5,0.8714050667856149,0.00044316318005306187
Municipio YARUMAL,1646552294.0,0.871847810628502,0.0004427438428870928
MUNICIPIO DE OCAÐA,1626631431.0,0.8722851979215422,0.00043738729304024823
Municipio PUERTO GAITAN,1626608028.0,0.8727225789217158,0.0004373810001735152
Municipio MELGAR,1613276528.0,0.8731563751954503,0.0004337962737345447
Municipio LA VIRGINIA,1612906981.0,0.8735900721011541,0.00043369690570383985
